date,user_id,sessions,minutes_watched,content_type,buffering_events,error_occurred
2025-06-02,1000,1,36,TV Show,0,0
2025-06-03,1000,0,57,Movie,0,1
2025-06-04,1000,1,33,Live,0,0
2025-06-05,1000,1,41,Live,0,0
2025-06-06,1000,0,27,Movie,0,0
2025-06-07,1000,1,67,None,0,0
2025-06-08,1000,1,39,TV Show,0,0
2025-06-09,1000,1,31,Movie,0,0
2025-06-10,1000,0,38,Movie,0,1
2025-06-11,1000,0,48,TV Show,0,0
2025-06-12,1000,0,23,TV Show,2,0
2025-06-13,1000,1,47,TV Show,0,0
2025-06-14,1000,1,45,Live,0,0
2025-06-15,1000,1,40,None,0,0
2025-06-16,1000,1,42,Movie,0,1
2025-06-17,1000,0,31,Movie,0,0
2025-06-18,1000,1,51,Live,1,0
2025-06-19,1000,1,21,Movie,0,0
2025-06-20,1000,1,52,Movie,0,0
2025-06-21,1000,0,32,TV Show,0,0
2025-06-22,1000,1,67,,0,0
2025-06-23,1000,1,34,TV Show,0,0
2025-06-24,1000,0,22,TV Show,0,1
2025-06-25,1000,1,32,TV Show,1,0
2025-06-26,1000,0,290,None,2,0
2025-06-27,1000,0,0,Live,0,0
2025-06-28,1000,1,48,,1,0
2025-06-29,1000,1,43,,0,0
2025-06-30,1000,0,7,TV Show,0,0
2025-07-01,1000,1,44,Live,0,0
2025-06-02,1001,3,55,TV Show,0,0
2025-06-03,1001,4,97,TV Show,0,0
2025-06-04,1001,3,61,Movie,0,0
2025-06-05,1001,4,68,,0,0
2025-06-06,1001,4,32,None,0,0
2025-06-07,1001,4,55,TV Show,0,0
2025-06-08,1001,4,68,Movie,0,0
2025-06-09,1001,3,82,TV Show,1,0
2025-06-10,1001,3,65,Movie,0,0
2025-06-11,1001,4,98,Live,0,0
2025-06-12,1001,3,76,Movie,0,0
2025-06-13,1001,4,76,Movie,0,0
2025-06-14,1001,4,84,TV Show,0,0
2025-06-15,1001,4,42,TV Show,0,0
2025-06-16,1001,4,39,Movie,0,0
2025-06-17,1001,4,77,None,1,0
2025-06-18,1001,3,43,Movie,0,0
2025-06-19,1001,3,61,TV Show,1,0
2025-06-20,1001,5,57,TV Show,0,0
2025-06-21,1001,4,86,Live,0,0
2025-06-22,1001,4,82,TV Show,3,0
2025-06-23,1001,3,70,Movie,0,0
2025-06-24,1001,4,62,Live,0,0
2025-06-25,1001,4,36,,1,0
2025-06-26,1001,3,79,,0,0
2025-06-27,1001,4,60,TV Show,1,0
2025-06-28,1001,0,0,TV Show,0,0
2025-06-29,1001,5,80,,1,0
2025-06-30,1001,4,41,TV Show,0,0
2025-07-01,1001,3,62,,0,0
2025-06-02,1002,0,0,TV Show,0,0
2025-06-03,1002,0,0,TV Show,0,0
2025-06-04,1002,0,17,None,0,0
2025-06-05,1002,0,0,TV Show,0,0
2025-06-06,1002,0,8,TV Show,1,0
2025-06-07,1002,0,20,Movie,0,0
2025-06-08,1002,1,28,Movie,0,0
2025-06-09,1002,0,24,TV Show,0,0
2025-06-10,1002,1,17,Movie,1,0
2025-06-11,1002,0,24,Movie,0,0
2025-06-12,1002,0,0,,0,0
2025-06-13,1002,0,20,Movie,0,0
2025-06-14,1002,0,22,TV Show,0,0
2025-06-15,1002,0,35,TV Show,0,0
2025-06-16,1002,0,23,Movie,0,0
2025-06-17,1002,0,22,TV Show,0,0
2025-06-18,1002,0,360,Movie,1,1
2025-06-19,1002,0,18,Movie,0,0
2025-06-20,1002,0,170,TV Show,0,0
2025-06-21,1002,0,29,TV Show,1,0
2025-06-22,1002,0,32,,1,0
2025-06-23,1002,0,0,Movie,0,0
2025-06-24,1002,1,32,TV Show,1,1
2025-06-25,1002,0,30,Movie,0,0
2025-06-26,1002,0,24,Live,1,0
2025-06-27,1002,0,10,TV Show,0,0
2025-06-28,1002,0,0,Live,0,0
2025-06-29,1002,0,20,None,0,0
2025-06-30,1002,0,19,TV Show,0,0
2025-07-01,1002,0,26,Movie,0,0
2025-06-02,1003,1,35,Movie,0,0
2025-06-03,1003,1,23,TV Show,2,0
2025-06-04,1003,0,41,TV Show,1,0
2025-06-05,1003,0,25,,0,0
2025-06-06,1003,1,21,None,1,1
2025-06-07,1003,0,25,TV Show,1,1
2025-06-08,1003,1,33,Movie,0,0
2025-06-09,1003,1,32,TV Show,0,0
2025-06-10,1003,2,21,TV Show,0,1
2025-06-11,1003,2,21,Movie,0,0
2025-06-12,1003,0,23,Movie,0,0
2025-06-13,1003,1,43,None,0,0
2025-06-14,1003,0,38,Movie,2,0
2025-06-15,1003,0,52,Movie,2,0
2025-06-16,1003,1,24,TV Show,1,0
2025-06-17,1003,1,27,TV Show,1,0
2025-06-18,1003,0,22,TV Show,0,0
2025-06-19,1003,1,28,Movie,1,0
2025-06-20,1003,0,14,TV Show,0,1
2025-06-21,1003,0,38,Movie,0,0
2025-06-22,1003,0,30,Movie,0,0
2025-06-23,1003,1,41,Movie,1,0
2025-06-24,1003,0,36,Movie,0,0
