user_id,age,gender,signup_date,subscription_type,payment_method,monthly_revenue,country,referral_source,has_kids,last_payment_date
1000,39,M,2025-02-22,Basic,Credit Card,9.99,ME,Facebook,1,2025-04-10
1001,33,F,2024-10-19,Basic,PayPal,9.99,AO,Facebook,0,2025-01-29
1002,32,M,2025-03-24,Premium,Credit Card,14.99,SO,Google,0,2025-05-12
1003,32,F,2024-01-20,Premium,Credit Card,14.99,GM,Google,1,2024-03-26
1004,50,F,2025-06-26,Premium,Credit Card,14.99,SL,Facebook,0,2025-06-26
1005,42,M,2024-10-26,Trial,PayPal,0.0,GT,Facebook,1,2024-12-23
1006,30,M,2024-12-06,Trial,Credit Card,0.0,ER,Facebook,0,2025-05-30
1007,40,F,2023-12-12,Trial,PayPal,0.0,SY,Email,0,2024-06-30
1008,37,M,2024-01-26,Basic,Other,9.99,LB,Google,0,2024-06-28
1009,18,F,2024-09-25,Trial,PayPal,0.0,JM,Google,0,2025-01-11
1010,24,M,2025-03-13,Basic,Credit Card,9.99,TL,Facebook,0,2025-05-03
1011,38,M,2024-10-17,Premium,Credit Card,14.99,PA,Facebook,0,2025-04-14
1012,49,M,2024-01-06,Basic,Credit Card,9.99,SK,Facebook,0,2025-03-07
1013,32,F,2023-09-10,Premium,Other,14.99,KR,Email,0,2025-06-21
1014,29,M,2025-02-17,Premium,PayPal,14.99,PE,Google,0,2025-05-24
1015,36,F,2024-08-20,Trial,PayPal,0.0,MH,Email,0,2024-12-20
1016,28,M,2025-05-21,Trial,PayPal,0.0,JP,Facebook,0,2025-06-27
1017,32,M,2023-09-02,Premium,Credit Card,14.99,AO,,0,2024-02-28
1018,34,F,2025-06-28,Trial,Credit Card,0.0,PA,Google,0,2025-06-30
1019,24,M,2024-09-20,Trial,Credit Card,0.0,PL,Facebook,1,2024-11-28
1020,43,F,2023-11-24,Basic,Credit Card,9.99,CG,Friend,0,2024-10-22
1021,22,,2024-12-06,Premium,Credit Card,14.99,MH,Google,0,2025-06-05
1022,21,M,2024-03-02,Premium,Credit Card,14.99,CF,Email,1,2025-03-18
1023,36,M,2023-12-06,Basic,Credit Card,9.99,BG,Google,1,2023-12-22
1024,42,,2024-10-17,Trial,Credit Card,0.0,SC,Friend,0,2025-01-09
1025,36,F,2024-04-30,Premium,PayPal,14.99,NE,Google,0,2024-07-09
1026,33,M,2024-04-26,Premium,PayPal,14.99,AT,Google,0,2024-08-29
1027,31,F,2023-11-25,Premium,Other,14.99,TT,Facebook,0,2025-04-30
1028,30,Other,2025-01-08,Basic,Credit Card,9.99,TG,Friend,0,2025-01-13
1029,45,F,2024-06-25,Premium,PayPal,14.99,MU,Facebook,0,2024-09-27
1030,38,F,2024-10-28,Basic,Credit Card,9.99,SC,Google,0,2025-05-20
1031,31,M,2025-07-07,Premium,Credit Card,14.99,LI,,1,2025-07-07
1032,28,M,2024-09-24,Trial,PayPal,0.0,MT,Facebook,0,2024-10-06
1033,41,M,2023-10-12,Trial,Other,0.0,HU,Google,1,2025-06-22
1034,45,F,2024-09-11,Premium,PayPal,14.99,MX,Facebook,1,2025-02-11
1035,44,M,2025-05-16,Premium,Credit Card,14.99,ES,Friend,0,2025-05-31
1036,26,F,2024-07-27,Premium,Credit Card,14.99,MH,Email,1,2024-09-07
1037,31,,2023-09-20,Premium,Credit Card,14.99,RO,Email,0,2024-09-09
1038,30,M,2024-10-12,Premium,Credit Card,14.99,EE,Facebook,0,2024-12-07
1039,33,M,2024-12-22,Premium,Credit Card,14.99,MY,Facebook,0,2025-05-16
1040,43,M,2025-02-03,Premium,PayPal,14.99,LR,,1,2025-02-10
1041,48,M,2025-03-07,Trial,Credit Card,0.0,ZM,Email,0,2025-05-22
1042,38,Other,2023-12-21,Premium,Credit Card,14.99,TJ,Google,1,2024-07-05
1043,28,F,2025-07-07,Premium,PayPal,14.99,BT,Facebook,0,2025-07-07
1044,34,M,2024-06-06,Premium,Credit Card,14.99,BJ,Google,0,2024-11-08
1045,50,,2024-01-17,Basic,PayPal,9.99,SO,Facebook,0,2024-12-08
1046,35,F,2024-03-01,Premium,Credit Card,14.99,ZM,Facebook,0,2025-01-05
1047,32,M,2025-01-19,Premium,Credit Card,14.99,ET,Facebook,0,2025-04-29
1048,32,M,2025-06-07,Premium,Other,14.99,OM,Friend,0,2025-07-03
1049,38,,2023-12-27,Basic,Credit Card,9.99,KG,Friend,1,2024-08-02
1050,26,F,2024-08-05,Trial,Other,0.0,PY,Facebook,1,2024-08-12
1051,29,M,2024-05-11,Premium,Credit Card,14.99,KR,Facebook,1,2025-03-20
1052,44,M,2024-03-01,Premium,Other,14.99,MR,Email,1,2024-07-13
1053,38,,2024-09-20,Premium,Credit Card,14.99,AD,,0,2024-10-02
1054,35,M,2024-05-29,Basic,PayPal,9.99,CR,Facebook,1,2024-09-26
1055,44,F,2023-10-15,Trial,Credit Card,0.0,KZ,Email,1,2025-02-06
1056,27,F,2025-01-12,Premium,Credit Card,14.99,ML,Friend,0,2025-03-13
1057,31,M,2025-06-07,Premium,Other,14.99,NL,Facebook,0,2025-07-04
1058,37,M,2025-03-29,Basic,PayPal,9.99,FJ,Facebook,0,2025-05-02
1059,37,F,2023-09-24,Trial,Credit Card,0.0,BA,Email,0,2024-05-17
